"R0000100","R1235800","R1236201","R2600401","R3958501","R5510700","R7274300","S1598200","S2067100","S3861700","S5444300","S7545600","T0042200","T2022600","T3613400","T5213300","T6665100","T8136000","U0017200","U1855500","U3455600"
5658,1,298759,332140,360781,395343,423882,439037,473918,505435,0,0,0,0,0,0,0,0,0,0,0
5659,1,279754,300084,313323,326691,341189,351576,369158,374485,392382,399714,415889,425933,431494,438738,453760,474317,477715,484903,510373
5660,1,236913,250165,270042,293931,312753,340259,340259,0,0,0,0,0,0,0,0,0,0,0,0
5661,1,229405,240114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5662,1,292867,314150,328010,342005,357183,368056,386462,392039,410775,418451,435384,445898,451720,459303,475029,496551,500108,507633,534297
5663,1,329224,355782,384474,414241,431371,450711,481609,521130,539728,548802,564850,576908,584156,594697,604986,624635,651480,680277,708435
5664,1,282948,304575,314046,319355,329212,340248,348306,368511,387022,397580,406150,417462,426753,442478,446550,467495,480942,516887,533686
5665,1,314483,339851,367259,395693,412056,430530,460044,497795,515561,524229,539558,551076,558000,568069,577897,596667,622310,0,0
5666,1,298759,332140,360781,395343,423882,439037,473918,0,0,0,0,0,0,0,0,0,0,0,0
5667,1,244388,271093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5668,1,245863,250000,254185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5669,1,273066,297165,308104,322356,340382,352772,364410,385019,412934,427186,442340,457037,474823,485034,495983,539186,557037,583392,595893
5670,1,281400,289372,298287,306823,315840,326941,333838,356429,373402,390971,404461,417741,431737,442760,454351,486982,504777,541302,563118
5671,1,281400,289372,298287,306823,315840,326941,333838,356429,373402,390971,404461,417741,431737,442760,454351,486982,504777,541302,563118
5672,1,303563,325623,339989,354495,370227,381497,400575,406356,425776,433732,451284,462182,468217,476077,492377,514685,518372,526171,553809
5673,1,232055,240952,259846,273303,280127,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5674,1,312059,330994,336501,345377,354937,359438,372859,383781,0,0,0,0,0,0,0,0,0,0,0
5675,1,305348,313999,323673,332936,342720,354766,362249,0,0,0,0,0,0,0,0,0,0,0,0
5676,1,324186,360408,391486,428989,459957,476401,514251,548451,576436,594789,607765,617873,625917,637034,653749,678283,703882,757742,790360
5677,1,219133,229362,241160,262471,271532,286022,291173,293556,298573,301088,303549,306104,306104,311837,311837,321474,330912,373740,386936
5678,1,281400,289372,298287,306823,315840,326941,333838,356429,373402,0,0,0,0,0,0,0,0,0,0
5679,1,279754,300084,313323,326691,341189,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5680,1,261824,288022,312922,331011,352550,371303,0,0,0,0,0,0,0,0,0,0,0,0,0
5681,1,270278,290937,299985,305055,314471,325013,332710,352010,369693,379778,387964,398770,407645,422665,426555,446562,459407,493743,509790
5682,1,261824,288022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5683,1,287584,305034,310109,318289,327099,331247,343615,353681,371906,383178,397520,410202,414077,422036,427574,454738,466200,485118,505971
5684,1,253941,275939,291946,309668,328216,343178,354506,373292,400591,408238,423942,442792,453519,461347,466194,477361,496113,518672,534114
5685,1,287584,305034,310109,318289,327099,331247,343615,353681,371906,383178,397520,410202,414077,422036,427574,0,0,0,0
5686,1,287584,305034,310109,318289,327099,331247,343615,353681,371906,383178,397520,410202,414077,422036,427574,454738,466200,485118,505971
5687,1,298759,332140,360781,395343,423882,439037,473918,505435,531226,548139,560097,569412,576826,587070,602475,625085,648676,0,0
5688,1,253941,275939,291946,309668,328216,343178,354506,373292,400591,408238,423942,442792,453519,461347,466194,477361,496113,518672,534114
5689,1,273066,297165,308104,322356,340382,352772,364410,385019,412934,427186,0,0,0,0,0,0,0,0,0
5690,1,270278,290937,299985,305055,314471,325013,0,0,0,0,0,0,0,0,0,0,0,0,0
5691,1,288778,309764,323430,337230,352195,362917,381066,386565,405039,412608,429305,439673,445413,452890,468397,489618,493125,500545,526837
5692,1,308397,342855,372419,408096,437556,453199,0,0,0,0,0,0,0,0,0,0,0,0,0
